blockchain,bucket,originating_frontend,confidence,total_trades,median_slippage_bps,execution_quality_score
all,named_frontend,uniswap_v3: SwapRouter02,medium,754,1.59,98.4
all,aggregator_api_direct,,medium,2530,3.26,96.7
all,named_frontend,uniswap_v3: SwapRouter,medium,447,4.53,95.5
all,named_frontend,uniswap: UniversalRouter,high,20315,5.37,94.6
all,wallet_embedded,metamask: MetaBridge,high,1199,5.75,94.2
all,named_frontend,uniswap: UniversalRouter,medium,572,6.38,93.6
all,wallet_embedded,metamask: MetaSwap,high,5976,7.38,92.6
all,unattributed,,low,234137,8.98,91.0
all,unattributed,,none,3463978,9.18,90.8
all,named_frontend,uniswap_v3: SwapRouter,low,1329,12.12,87.9
all,aggregator_api_direct,paraswap: AugustusV6_2,medium,1239,12.2,87.8
all,named_frontend,uniswap: UniversalRouter,low,1292,16.51,83.5
all,named_frontend,uniswap_v3: SwapRouter02,low,2606,16.96,83.0
all,named_frontend,sushiswap: RouteProcessor11,medium,891,33.44,66.6
all,named_frontend,uniswap_v2: Router02,low,5364,38.46,61.5
all,named_frontend,paraswap_v6: AugustusFeeVault,medium,777,48.3,51.7
arbitrum,unattributed,,none,786011,10.31,89.7
base,unattributed,,none,2296946,8.56,91.4
ethereum,named_frontend,uniswap_v3: SwapRouter02,medium,754,1.6,98.4
ethereum,aggregator_api_direct,,medium,2530,3.26,96.7
ethereum,named_frontend,uniswap_v3: SwapRouter,medium,447,4.54,95.5
ethereum,named_frontend,uniswap: UniversalRouter,high,20315,5.41,94.6
ethereum,wallet_embedded,metamask: MetaBridge,high,1199,5.75,94.2
ethereum,named_frontend,uniswap: UniversalRouter,medium,572,6.37,93.6
ethereum,wallet_embedded,metamask: MetaSwap,high,5976,7.32,92.7
ethereum,unattributed,,low,234137,8.89,91.1
ethereum,unattributed,,none,237730,11.35,88.6
ethereum,aggregator_api_direct,paraswap: AugustusV6_2,medium,1239,12.13,87.9
ethereum,named_frontend,uniswap_v3: SwapRouter,low,1329,12.11,87.9
ethereum,named_frontend,uniswap: UniversalRouter,low,1292,16.55,83.4
ethereum,named_frontend,uniswap_v3: SwapRouter02,low,2606,17.06,82.9
ethereum,named_frontend,sushiswap: RouteProcessor11,medium,891,33.29,66.7
ethereum,named_frontend,uniswap_v2: Router02,low,5364,38.41,61.6
ethereum,named_frontend,paraswap_v6: AugustusFeeVault,medium,777,48.06,51.9
optimism,unattributed,,none,143291,10.48,89.5
