project,category,blockchain,avg_slippage_bps,toxicity_score,total_trades,fetched_at
uniswap,Aggregator,all,0.94,0.9,2146,2026-08-31T17:35:08+00:00
bitget_dex_aggregator,Aggregator,all,4.85,4.8,9902,2026-08-31T17:35:08+00:00
1inch,Aggregator,all,6.76,6.8,28060,2026-08-31T17:35:08+00:00
kyberswap,Aggregator,all,6.82,6.8,72833,2026-08-31T17:35:08+00:00
1inch-LOP,Aggregator,all,9.47,9.5,3027,2026-08-31T17:35:08+00:00
bebop,Aggregator,all,9.88,9.9,1791,2026-08-31T17:35:08+00:00
openocean,Aggregator,all,9.96,10.0,2423,2026-08-31T17:35:08+00:00
cow_protocol,Aggregator,all,10.14,10.1,17405,2026-08-31T17:35:08+00:00
uniswap,DEX,all,11.32,11.3,1442087,2026-08-31T17:35:08+00:00
velora,Aggregator,all,11.75,11.7,12340,2026-08-31T17:35:08+00:00
okx,Aggregator,all,19.64,19.6,8756,2026-08-31T17:35:08+00:00
sushiswap,Aggregator,all,23.16,23.2,3193,2026-08-31T17:35:08+00:00
tokenlon,Aggregator,all,72.59,72.6,2163,2026-08-31T17:35:08+00:00
1inch,Aggregator,arbitrum,4.46,4.5,1319,2026-08-31T17:35:08+00:00
velora,Aggregator,arbitrum,5.62,5.6,1711,2026-08-31T17:35:08+00:00
kyberswap,Aggregator,arbitrum,6.62,6.6,3424,2026-08-31T17:35:08+00:00
cow_protocol,Aggregator,arbitrum,9.7,9.7,1738,2026-08-31T17:35:08+00:00
uniswap,DEX,arbitrum,11.05,11.0,601276,2026-08-31T17:35:08+00:00
okx,Aggregator,arbitrum,21.05,21.0,1411,2026-08-31T17:35:08+00:00
kyberswap,Aggregator,base,4.81,4.8,40593,2026-08-31T17:35:08+00:00
bitget_dex_aggregator,Aggregator,base,6.95,6.9,3011,2026-08-31T17:35:08+00:00
cow_protocol,Aggregator,base,9.59,9.6,2612,2026-08-31T17:35:08+00:00
velora,Aggregator,base,10.82,10.8,3254,2026-08-31T17:35:08+00:00
uniswap,DEX,base,12.24,12.2,458918,2026-08-31T17:35:08+00:00
okx,Aggregator,base,13.58,13.6,3648,2026-08-31T17:35:08+00:00
sushiswap,Aggregator,base,24.49,24.5,1255,2026-08-31T17:35:08+00:00
1inch,Aggregator,base,24.64,24.6,3281,2026-08-31T17:35:08+00:00
uniswap,Aggregator,ethereum,0.94,0.9,2137,2026-08-31T17:35:08+00:00
bitget_dex_aggregator,Aggregator,ethereum,4.11,4.1,6404,2026-08-31T17:35:08+00:00
1inch,Aggregator,ethereum,5.67,5.7,23212,2026-08-31T17:35:08+00:00
1inch-LOP,Aggregator,ethereum,9.06,9.1,2560,2026-08-31T17:35:08+00:00
openocean,Aggregator,ethereum,9.14,9.1,1470,2026-08-31T17:35:08+00:00
bebop,Aggregator,ethereum,9.43,9.4,1278,2026-08-31T17:35:08+00:00
uniswap,DEX,ethereum,10.22,10.2,349181,2026-08-31T17:35:08+00:00
cow_protocol,Aggregator,ethereum,10.23,10.2,13055,2026-08-31T17:35:08+00:00
kyberswap,Aggregator,ethereum,12.96,13.0,20136,2026-08-31T17:35:08+00:00
sushiswap,Aggregator,ethereum,19.54,19.5,1614,2026-08-31T17:35:08+00:00
velora,Aggregator,ethereum,23.24,23.2,6330,2026-08-31T17:35:08+00:00
okx,Aggregator,ethereum,31.11,31.1,3569,2026-08-31T17:35:08+00:00
tokenlon,Aggregator,ethereum,72.31,72.3,2163,2026-08-31T17:35:08+00:00
velora,Aggregator,optimism,11.15,11.2,1045,2026-08-31T17:35:08+00:00
kyberswap,Aggregator,optimism,15.28,15.3,8680,2026-08-31T17:35:08+00:00
uniswap,DEX,optimism,19.87,19.9,32712,2026-08-31T17:35:08+00:00
