project,blockchain,revert_rate_pct,reverted_txs,total_routing_txs,user_revert_rate_pct,user_reverted_txs,user_txs,fetched_at,execution_model,revert_comparable
1inch-LOP,arbitrum,0.25,5,2012,0.15,3,2009,2026-08-31T17:35:45.819558+00:00,intent,false
bebop,arbitrum,0.26,21,8044,0.08,6,7965,2026-08-31T17:35:45.819558+00:00,unclassified,false
cow_protocol,arbitrum,0.44,36,8206,0.43,35,8200,2026-08-31T17:35:45.819558+00:00,batch_auction,false
kyberswap,arbitrum,0.47,534,112782,0.2,218,111651,2026-08-31T17:35:45.819558+00:00,router,true
sushiswap,arbitrum,0.77,52,6747,0.06,4,6566,2026-08-31T17:35:45.819558+00:00,router,true
1inch,arbitrum,1.06,390,36786,0.73,262,36083,2026-08-31T17:35:45.819558+00:00,router,true
uniswap,arbitrum,1.28,673,52376,0.63,319,50735,2026-08-31T17:35:45.819558+00:00,router,true
lifi,arbitrum,1.45,275,19023,0.16,29,18344,2026-08-31T17:35:45.819558+00:00,router,true
velora,arbitrum,1.56,266,17020,0.28,44,15988,2026-08-31T17:35:45.819558+00:00,router,true
bitget_dex_aggregator,arbitrum,1.73,293,16975,0.25,40,16112,2026-08-31T17:35:45.819558+00:00,router,true
okx,arbitrum,2.9,286,9847,1.64,153,9306,2026-08-31T17:35:45.819558+00:00,router,true
bebop,base,0.44,187,42467,0.14,59,41911,2026-08-31T17:35:40.225782+00:00,unclassified,false
1inch-LOP,base,0.44,57,13090,0.17,22,12924,2026-08-31T17:35:40.225782+00:00,intent,false
velora,base,0.54,827,154535,0.16,244,151123,2026-08-31T17:35:40.225782+00:00,router,true
pancakeswap,base,0.84,9,1069,0.48,5,1045,2026-08-31T17:35:40.225782+00:00,router,true
openocean,base,1.06,136,12867,0.38,47,12478,2026-08-31T17:35:40.225782+00:00,router,true
cow_protocol,base,1.14,145,12698,1.03,128,12482,2026-08-31T17:35:40.225782+00:00,batch_auction,false
kyberswap,base,1.22,39432,3224955,1.04,33200,3195044,2026-08-31T17:35:40.225782+00:00,router,true
uniswap,base,1.49,4262,286164,0.82,2280,276387,2026-08-31T17:35:40.225782+00:00,router,true
1inch,base,1.71,1854,108229,0.55,561,101156,2026-08-31T17:35:40.225782+00:00,router,true
bitget_dex_aggregator,base,2.04,1649,80674,0.79,605,76594,2026-08-31T17:35:40.225782+00:00,router,true
sushiswap,base,2.19,1022,46727,0.79,349,44177,2026-08-31T17:35:40.225782+00:00,router,true
aerodrome,base,2.43,7356,302477,0.25,676,275075,2026-08-31T17:35:40.225782+00:00,router,true
lifi,base,3.77,1265,33511,0.61,182,29626,2026-08-31T17:35:40.225782+00:00,router,true
okx,base,3.9,4216,108151,1.77,1719,96961,2026-08-31T17:35:40.225782+00:00,router,true
tokenlon,ethereum,0.04,1,2685,0.0,0,2682,2026-08-31T17:35:34.624875+00:00,unclassified,false
cow_protocol,ethereum,0.53,155,29183,0.21,62,28862,2026-08-31T17:35:34.624875+00:00,batch_auction,false
openocean,ethereum,0.54,132,24266,0.23,55,23901,2026-08-31T17:35:34.624875+00:00,router,true
1inch-LOP,ethereum,0.56,202,36062,0.28,100,35408,2026-08-31T17:35:34.624875+00:00,intent,false
1inch,ethereum,1.11,1364,123409,0.2,234,118904,2026-08-31T17:35:34.624875+00:00,router,true
DODO X,ethereum,1.45,230,15911,0.28,43,15088,2026-08-31T17:35:34.624875+00:00,unclassified,false
velora,ethereum,1.64,614,37488,0.39,138,35071,2026-08-31T17:35:34.624875+00:00,router,true
kyberswap,ethereum,1.75,3226,184049,0.73,1275,175350,2026-08-31T17:35:34.624875+00:00,router,true
uniswap,ethereum,2.37,4005,168804,0.71,1090,154070,2026-08-31T17:35:34.624875+00:00,router,true
bitget_dex_aggregator,ethereum,2.75,976,35429,0.78,252,32353,2026-08-31T17:35:34.624875+00:00,router,true
sushiswap,ethereum,3.16,1800,56905,2.11,1135,53794,2026-08-31T17:35:34.624875+00:00,router,true
lifi,ethereum,4.17,1436,34397,0.41,122,29657,2026-08-31T17:35:34.624875+00:00,router,true
bebop,ethereum,4.65,825,17756,2.05,299,14593,2026-08-31T17:35:34.624875+00:00,unclassified,false
okx,ethereum,6.21,2713,43660,1.21,413,34017,2026-08-31T17:35:34.624875+00:00,router,true
bebop,optimism,0.01,1,8463,0.01,1,8461,2026-08-31T17:36:03.691541+00:00,unclassified,false
okx,optimism,0.39,4,1023,0.29,3,1019,2026-08-31T17:36:03.691541+00:00,router,true
uniswap,optimism,0.57,12,2104,0.0,0,2053,2026-08-31T17:36:03.691541+00:00,router,true
velora,optimism,0.64,68,10678,0.47,49,10536,2026-08-31T17:36:03.691541+00:00,router,true
sushiswap,optimism,0.84,18,2150,0.38,8,2103,2026-08-31T17:36:03.691541+00:00,router,true
lifi,optimism,1.37,107,7809,0.1,7,7283,2026-08-31T17:36:03.691541+00:00,router,true
velodrome,optimism,1.59,70,4407,0.68,29,4245,2026-08-31T17:36:03.691541+00:00,router,true
kyberswap,optimism,2.45,465,19008,1.97,363,18407,2026-08-31T17:36:03.691541+00:00,router,true
1inch,optimism,4.61,134,2906,2.78,73,2627,2026-08-31T17:36:03.691541+00:00,router,true
